tipo_error,indice
FP,50
FP,51
FP,52
FP,53
FP,54
FP,55
FP,56
FP,57
FP,58
FP,59
FP,60
FP,61
FP,62
FP,63
FP,64
FP,65
FP,66
FP,67
FP,68
FP,69
FP,70
FP,71
FP,72
FP,73
FP,74
FP,75
FP,76
FP,77
FP,78
FP,79
FP,80
FP,81
FP,82
FP,83
FP,84
FP,85
FP,86
FP,87
FP,88
FP,89
FP,90
FP,91
FP,92
FP,93
FP,94
FP,95
FP,96
FP,97
FP,98
FP,99
FP,150
FP,151
FP,152
FP,153
FP,154
FP,155
FP,156
FP,157
FP,158
FP,159
FP,160
FP,161
FP,162
FP,163
FP,164
FP,165
FP,166
FP,167
FP,168
FP,169
FP,170
FP,171
FP,172
FP,173
FP,174
FP,175
FP,176
FP,177
FP,178
FP,179
FP,180
FP,181
FP,182
FP,183
FP,184
FP,185
FP,186
FP,187
FP,188
FP,189
FP,190
FP,191
FP,192
FP,193
FP,194
FP,195
FP,196
FP,197
FP,198
FP,199
